ID,Name,Stoichiometry,Enzyme,Rate law,Rate parameters,Type
Transcription_TU_052,Transcription (MG_081 - MG_082),308 ATP + 201 CTP + 173 GTP + 412 UTP + 1 H2O -> 1 TU_052 + 1094 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_052*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_052 = 0.003597,transcription
Transcription_TU_053,Transcription (MG_083),175 ATP + 112 CTP + 79 GTP + 204 UTP + 1 H2O -> 1 TU_053 + 570 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_053*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_053 = 0.002910,transcription
Transcription_TU_054,Transcription (MG_084 - MG_085),566 ATP + 327 CTP + 269 GTP + 647 UTP + 1 H2O -> 1 TU_054 + 1809 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_054*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_054 = 0.002632,transcription
Transcription_TU_055,Transcription (MG_086 - MG_089),1327 ATP + 815 CTP + 650 GTP + 1365 UTP + 1 H2O -> 1 TU_055 + 4157 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_055*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_055 = 0.002223,transcription
Transcription_TU_056,Transcription (MG_090),169 ATP + 103 CTP + 113 GTP + 242 UTP + 1 H2O -> 1 TU_056 + 627 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_056*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_056 = 0.001855,transcription
Transcription_TU_057,Transcription (MG_091),149 ATP + 84 CTP + 84 GTP + 166 UTP + 1 H2O -> 1 TU_057 + 483 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_057*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_057 = 0.001885,transcription
Transcription_TU_058,Transcription (MG_092),80 ATP + 54 CTP + 57 GTP + 127 UTP + 1 H2O -> 1 TU_058 + 318 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_058*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_058 = 0.001885,transcription
Transcription_TU_059,Transcription (MG_093 - MG_095),939 ATP + 502 CTP + 497 GTP + 1105 UTP + 1 H2O -> 1 TU_059 + 3043 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_059*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_059 = 0.002680,transcription
Transcription_TU_060,Transcription (MG_096),620 ATP + 336 CTP + 305 GTP + 692 UTP + 1 H2O -> 1 TU_060 + 1953 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_060*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_060 = 0.002632,transcription
Transcription_TU_061,Transcription (MG_097),242 ATP + 118 CTP + 120 GTP + 258 UTP + 1 H2O -> 1 TU_061 + 738 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_061*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_061 = 0.002243,transcription
Transcription_TU_062,Transcription (MG_098 - MG_100),1457 ATP + 695 CTP + 669 GTP + 1475 UTP + 1 H2O -> 1 TU_062 + 4296 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_062*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_062 = 0.001062,transcription
Transcription_TU_063,Transcription (MG_101 - MG_103),810 ATP + 422 CTP + 346 GTP + 863 UTP + 1 H2O -> 1 TU_063 + 2441 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_063*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_063 = 0.002749,transcription
Transcription_TU_064,Transcription (MG_476),95 ATP + 43 CTP + 33 GTP + 63 UTP + 1 H2O -> 1 TU_064 + 234 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_064*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_064 = 0.002632,transcription
Transcription_TU_065,Transcription (MG_104),682 ATP + 374 CTP + 350 GTP + 772 UTP + 1 H2O -> 1 TU_065 + 2178 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_065*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_065 = 0.004147,transcription
Transcription_TU_066,Transcription (MG_105),237 ATP + 98 CTP + 89 GTP + 179 UTP + 1 H2O -> 1 TU_066 + 603 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_066*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_066 = 0.002632,transcription
Transcription_TU_067,Transcription (MG_106),178 ATP + 107 CTP + 79 GTP + 218 UTP + 1 H2O -> 1 TU_067 + 582 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_067*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_067 = 0.003062,transcription
Transcription_TU_068,Transcription (MG_107 - MG_110),1099 ATP + 561 CTP + 457 GTP + 1206 UTP + 1 H2O -> 1 TU_068 + 3323 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_068*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_068 = 0.003319,transcription
Transcription_TU_069,Transcription (MG_111 - MG_112),656 ATP + 310 CTP + 288 GTP + 667 UTP + 1 H2O -> 1 TU_069 + 1921 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_069*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_069 = 0.003734,transcription
Transcription_TU_070,Transcription (MG_113),423 ATP + 248 CTP + 204 GTP + 496 UTP + 1 H2O -> 1 TU_070 + 1371 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_070*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_070 = 0.006817,transcription
Transcription_TU_071,Transcription (MG_114),279 ATP + 129 CTP + 96 GTP + 207 UTP + 1 H2O -> 1 TU_071 + 711 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_071*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_071 = 0.002243,transcription
Transcription_TU_072,Transcription (MG_115),160 ATP + 94 CTP + 69 GTP + 151 UTP + 1 H2O -> 1 TU_072 + 474 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_072*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_072 = 0.002161,transcription
Transcription_TU_073,Transcription (MG_116 - MG_118),808 ATP + 379 CTP + 347 GTP + 862 UTP + 1 H2O -> 1 TU_073 + 2396 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_073*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_073 = 0.002618,transcription
Transcription_TU_074,Transcription (MG_119 - MG_122),2102 ATP + 1183 CTP + 918 GTP + 2153 UTP + 1 H2O -> 1 TU_074 + 6356 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_074*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_074 = 0.002377,transcription
Transcription_TU_075,Transcription (MG_123),455 ATP + 211 CTP + 197 GTP + 553 UTP + 1 H2O -> 1 TU_075 + 1416 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_075*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_075 = 0.002632,transcription
Transcription_TU_076,Transcription (MG_124 - MG_125),393 ATP + 192 CTP + 168 GTP + 419 UTP + 1 H2O -> 1 TU_076 + 1172 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_076*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_076 = 0.003390,transcription
Transcription_TU_077,Transcription (MG_126),322 ATP + 160 CTP + 159 GTP + 403 UTP + 1 H2O -> 1 TU_077 + 1044 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_077*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_077 = 0.002632,transcription
Transcription_TU_078,Transcription (MG_127 - MG_128),400 ATP + 207 CTP + 195 GTP + 423 UTP + 1 H2O -> 1 TU_078 + 1225 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_078*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_078 = 0.002632,transcription
Transcription_TU_079,Transcription (MG_129),118 ATP + 55 CTP + 44 GTP + 137 UTP + 1 H2O -> 1 TU_079 + 354 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_079*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_079 = 0.002632,transcription
Transcription_TU_080,Transcription (MG_130),480 ATP + 214 CTP + 223 GTP + 538 UTP + 1 H2O -> 1 TU_080 + 1455 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_080*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_080 = 0.002632,transcription
Transcription_TU_081,Transcription (MG_131),128 ATP + 40 CTP + 36 GTP + 83 UTP + 1 H2O -> 1 TU_081 + 287 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_081*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_081 = 0.002706,transcription
Transcription_TU_082,Transcription (MG_132),132 ATP + 67 CTP + 69 GTP + 158 UTP + 1 H2O -> 1 TU_082 + 426 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_082*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_082 = 0.002632,transcription
Transcription_TU_083,Transcription (MG_133),326 ATP + 108 CTP + 126 GTP + 235 UTP + 1 H2O -> 1 TU_083 + 795 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_083*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_083 = 0.002632,transcription
Transcription_TU_084,Transcription (MG_134),87 ATP + 58 CTP + 41 GTP + 117 UTP + 1 H2O -> 1 TU_084 + 303 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_084*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_084 = 0.002632,transcription
Transcription_TU_085,Transcription (MG_135),343 ATP + 145 CTP + 120 GTP + 235 UTP + 1 H2O -> 1 TU_085 + 843 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_085*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_085 = 0.002632,transcription
Transcription_TU_086,Transcription (MG_136 - MG_138),1415 ATP + 766 CTP + 674 GTP + 1570 UTP + 1 H2O -> 1 TU_086 + 4425 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_086*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_086 = 0.004247,transcription
Transcription_TU_087,Transcription (MG_139),556 ATP + 320 CTP + 265 GTP + 569 UTP + 1 H2O -> 1 TU_087 + 1710 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_087*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_087 = 0.002632,transcription
Transcription_MGrrnA16S,Transcription (16S ribosomal rRNA),384 ATP + 409 CTP + 284 GTP + 442 UTP + 1 H2O -> 1 MGrrnA16S + 1519 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_MGrrnA16S*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_MGrrnA16S = 0.000031,transcription
Transcription_MGrrnA23S,Transcription (23S ribosomal rRNA),670 ATP + 759 CTP + 490 GTP + 815 UTP + 1 H2O -> 1 MGrrnA23S + 2734 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_MGrrnA23S*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_MGrrnA23S = 0.000031,transcription
Transcription_MGrrnA5S,Transcription (5S ribosomal rRNA),20 ATP + 25 CTP + 23 GTP + 36 UTP + 1 H2O -> 1 MGrrnA5S + 104 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_MGrrnA5S*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_MGrrnA5S = 0.000031,transcription
Transcription_TU_089,Transcription (MG_140),1050 ATP + 587 CTP + 522 GTP + 1183 UTP + 1 H2O -> 1 TU_089 + 3342 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_089*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_089 = 0.002632,transcription
Transcription_TU_090,Transcription (MG_141),483 ATP + 298 CTP + 221 GTP + 594 UTP + 1 H2O -> 1 TU_090 + 1596 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_090*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_090 = 0.003230,transcription
Transcription_TU_091,Transcription (MG_477),81 ATP + 44 CTP + 39 GTP + 109 UTP + 1 H2O -> 1 TU_091 + 273 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_091*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_091 = 0.002632,transcription
Transcription_TU_092,Transcription (MG_142 - MG_144),955 ATP + 587 CTP + 442 GTP + 1065 UTP + 1 H2O -> 1 TU_092 + 3049 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_092*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_092 = 0.003607,transcription
Transcription_TU_093,Transcription (MG_145),272 ATP + 142 CTP + 105 GTP + 291 UTP + 1 H2O -> 1 TU_093 + 810 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_093*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_093 = 0.002632,transcription
Transcription_TU_094,Transcription (MG_146),431 ATP + 202 CTP + 202 GTP + 440 UTP + 1 H2O -> 1 TU_094 + 1275 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_094*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_094 = 0.002632,transcription
Transcription_TU_095,Transcription (MG_147),467 ATP + 207 CTP + 155 GTP + 299 UTP + 1 H2O -> 1 TU_095 + 1128 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_095*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_095 = 0.002632,transcription
Transcription_TU_096,Transcription (MG_148),351 ATP + 206 CTP + 162 GTP + 511 UTP + 1 H2O -> 1 TU_096 + 1230 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_096*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_096 = 0.002632,transcription
Transcription_TU_097,Transcription (MG_149),239 ATP + 143 CTP + 139 GTP + 325 UTP + 1 H2O -> 1 TU_097 + 846 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_097*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_097 = 0.002632,transcription
Transcription_TU_098,Transcription (MG_478),188 ATP + 73 CTP + 66 GTP + 138 UTP + 1 H2O -> 1 TU_098 + 465 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_098*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_098 = 0.002632,transcription
Transcription_TU_099,Transcription (MG_150),95 ATP + 64 CTP + 53 GTP + 109 UTP + 1 H2O -> 1 TU_099 + 321 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_099*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_099 = 0.002287,transcription
Transcription_TU_100,Transcription (MG_151),205 ATP + 180 CTP + 120 GTP + 269 UTP + 1 H2O -> 1 TU_100 + 774 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_100*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_100 = 0.002243,transcription
Transcription_TU_101,Transcription (MG_152 - MG_153),245 ATP + 171 CTP + 176 GTP + 368 UTP + 1 H2O -> 1 TU_101 + 960 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_101*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_101 = 0.001859,transcription
